Plot,DBH_11,DC_2011,Status_2011,DBH_17,Status_2017,DC_2017,Treatment,Treatment_Title,count,DDD,Growing.Space
un2,33.4,,1,35.9,1,,un,Control,1,0,3.987
un2,36.7,,1,39.2,1,,un,Control,1,0,123.412
un2,17.2,,1,17.1,2,2,un,Control,1,1,5.304
un2,10.6,,1,14.8,1,,un,Control,1,0,28.667
un2,17.8,,1,21.2,1,,un,Control,1,0,23.124
un2,71,,1,73.2,2,2,un,Control,1,1,6.77
un2,23.2,,1,23.4,2,3,un,Control,1,1,5.715
un2,9.9,,1,10,2,1,un,Control,1,1,9.463
un2,7.6,,1,8.1,2,1,un,Control,1,1,59.924
un2,73,,1,76.8,1,,un,Control,1,0,6.843
un2,48.4,,1,53,1,,un,Control,1,0,8.529
un2,68.1,,1,60,1,,un,Control,1,0,54.628
un2,20.5,,1,23.1,2,1,un,Control,1,1,8.709
un2,11.7,,1,12.1,1,,un,Control,1,0,11.042
un2,18,,1,21.5,1,,un,Control,1,0,13.034
un2,18.8,,1,20.7,1,,un,Control,1,0,17.814
un2,8.8,,1,9.5,2,1,un,Control,1,1,10.016
un2,5.5,,1,4.8,2,1,un,Control,1,1,1.058
un2,43.2,,1,42.9,2,2,un,Control,1,1,59.344
un2,16.4,,1,16.6,1,,un,Control,1,0,3.378
un2,18.7,,1,21.4,1,,un,Control,1,0,25.621
un2,5,,1,4.7,2,1,un,Control,1,1,6.942
un2,7.5,,1,6.9,2,2,un,Control,1,1,9.262
un2,5.5,,1,5.3,2,1,un,Control,1,1,5.878
un2,63.2,,1,67,1,,un,Control,1,0,63.367
un2,13.4,,1,14.2,2,1,un,Control,1,1,1.935
un2,43.2,,1,46.9,1,,un,Control,1,0,3.433
un2,67,,1,73.3,1,,un,Control,1,0,172.917
un2,40.3,,1,42.9,1,,un,Control,1,0,5.822
un2,35.6,,1,39.1,1,,un,Control,1,0,10.708
un2,47.2,,1,50.3,2,1,un,Control,1,1,18.201
un2,13,,1,11.9,2,2,un,Control,1,1,8.601
un2,55,,1,60.2,1,,un,Control,1,0,11.533
un2,22.5,,1,24.7,1,,un,Control,1,0,7.496
un2,14,,1,15,2,1,un,Control,1,1,9.885
un2,45.4,,1,49.6,1,,un,Control,1,0,15.513
un2,22.9,,1,23.7,2,1,un,Control,1,1,4.265
un2,7.4,,1,8.9,1,,un,Control,1,0,6.616
un2,10.8,,1,11.4,1,,un,Control,1,0,4.21
un2,15.5,,1,12.1,2,1,un,Control,1,1,9.708
un2,32.3,,1,33.2,2,1,un,Control,1,1,5.82
un2,89.1,,1,86,2,1,un,Control,1,1,8.013
un2,10.6,,1,10.9,2,1,un,Control,1,1,3.424
un2,48.3,,1,49.3,1,,un,Control,1,0,18.461
un2,42.4,,1,45.6,1,,un,Control,1,0,7.349
un2,19.6,,1,20.9,2,1,un,Control,1,1,7.445
un2,37,,1,39.5,1,,un,Control,1,0,1.876
un2,16.2,,1,17.5,1,,un,Control,1,0,7.214
un2,28.1,,1,29.4,1,,un,Control,1,0,2.928
un2,10.5,,1,11.3,2,1,un,Control,1,1,4.34
un2,107.5,,1,108.8,2,1,un,Control,1,1,28.118
un2,7.6,,1,7.7,2,1,un,Control,1,1,4.069
un2,22.8,,1,27.1,1,,un,Control,1,0,56.765
un2,36,,1,34.8,1,,un,Control,1,0,18.459
un2,20.9,,1,23.4,1,,un,Control,1,0,82.15
un2,18.5,,1,20.3,1,,un,Control,1,0,4.022
un2,8.8,,1,8.6,2,1,un,Control,1,1,2.691
un2,36.3,,1,40.5,1,,un,Control,1,0,11.651
un2,5.2,,1,4.7,2,1,un,Control,1,1,12.555
un2,42,,1,43.7,2,2,un,Control,1,1,4.746
un2,18.1,,1,26.3,1,,un,Control,1,0,78.691
un2,15.7,,1,15.5,2,1,un,Control,1,1,4.734
un2,82.5,,1,84.6,1,,un,Control,1,0,52.447
un2,17.6,,1,19.3,1,,un,Control,1,0,9.618
un2,29.7,,1,31.9,1,,un,Control,1,0,9.738
un2,16.2,,1,17.6,1,,un,Control,1,0,7.844
un2,12.7,,1,15.5,1,,un,Control,1,0,24.997
un2,19.8,,1,20.7,2,1,un,Control,1,1,43.662
un2,32,,1,34.3,1,,un,Control,1,0,10.943
un2,38,,1,40.8,1,,un,Control,1,0,27.872
un2,28.2,,1,31,1,,un,Control,1,0,17.261
un2,17.2,,1,17.8,2,2,un,Control,1,1,4.21
un2,23.8,,1,24.3,2,2,un,Control,1,1,1.695
un2,56,,1,57,1,,un,Control,1,0,42.534
un2,17,,1,17.6,1,,un,Control,1,0,26.404
un2,26,,1,26.7,2,2,un,Control,1,1,8.115
un2,10,,1,10,2,2,un,Control,1,1,5.376
un2,48.8,,1,50.8,1,,un,Control,1,0,14.599
un2,20.6,,1,21.4,1,,un,Control,1,0,0.917
un2,17.5,,1,17.4,2,2,un,Control,1,1,4.074
un2,8.6,,1,9.5,1,,un,Control,1,0,13.826
un2,10.1,,1,10.2,2,2,un,Control,1,1,1.229
un2,15,,1,15.2,1,,un,Control,1,0,5.975
un2,24.7,,1,25.5,2,1,un,Control,1,1,17.289
un2,63.1,,1,67,1,,un,Control,1,0,143.471
un2,42.5,,1,45.5,1,,un,Control,1,0,2.058
un2,9.8,,1,9.7,2,2,un,Control,1,1,1.223
un2,73.6,,1,77.4,2,2,un,Control,1,1,4.714
un2,70,,1,66.7,1,,un,Control,1,0,152.334
un2,11.2,,1,16,2,1,un,Control,1,1,25.1
un2,11.2,,1,11.8,2,1,un,Control,1,1,17.52
un2,29.8,,1,31.1,1,,un,Control,1,0,3.728
un2,90.5,,1,93.8,1,,un,Control,1,0,57.048
un2,50.2,,1,59.4,1,,un,Control,1,0,2.162
un2,79.8,,1,78.2,2,2,un,Control,1,1,22.247
un2,87,,1,88.8,1,,un,Control,1,0,5.712
un2,50.4,,1,48.7,2,2,un,Control,1,1,11.836
un2,13.8,,1,14.8,2,1,un,Control,1,1,19.611
un2,24.5,,1,27,1,,un,Control,1,0,70.858
un2,8.2,,1,8.4,1,,un,Control,1,0,9.773
un2,28.3,,1,30.3,1,,un,Control,1,0,19.432
un2,18.5,,1,18.2,1,,un,Control,1,0,69.054
un2,28,,1,29.2,2,3,un,Control,1,1,1.048
un2,30.3,,1,35.5,1,,un,Control,1,0,91.789
un2,15,,1,15.5,2,2,un,Control,1,1,11.431
un2,20.1,,1,21.9,1,,un,Control,1,0,1.276
un2,36.5,,1,35.3,1,,un,Control,1,0,10.341
un2,9.5,,1,12.5,1,,un,Control,1,0,7.593
un2,38.5,,1,42.3,1,,un,Control,1,0,16.953
un2,12.3,,1,12.8,1,,un,Control,1,0,8.576
un2,24.2,,1,27.6,1,,un,Control,1,0,10.366
un2,51.8,,1,55.5,1,,un,Control,1,0,26.817
un2,23,,1,24,1,,un,Control,1,0,6.152
un2,12.6,,1,12.8,2,2,un,Control,1,1,8.268
