Plot,DBH_11,DC_2011,DBH_17,Status_2017,DC_2017,sizeclass,Died,Treatment,ddd,fell,Carbon,carbon_mg_ha
bc2,20.4,0,24.5,2,2,2,Drought,bc,1,0,0.085396164,0.021349041
bc2,,0,5.2,2,1,,Drought,bc,1,0,,
bc2,,0,6.5,2,1,,Drought,bc,1,0,,
bc2,,0,8,2,1,,Drought,bc,1,0,,
bc2,,0,6.2,2,1,,Drought,bc,1,0,,
bc2,,0,5.5,2,1,,Drought,bc,1,0,,
bc2,,0,5.3,2,1,,Drought,bc,1,0,,
bc2,,0,5.5,2,1,,Drought,bc,1,0,,
bc2,,0,36.5,2,5,,Drought,bc,1,0,,
bc2,,0,14.3,2,1,,Drought,bc,1,0,,
bc2,,0,6,2,1,,Drought,bc,1,0,,
bc3,29,0,29.7,2,2,2,Drought,bc,1,0,0.204068438,0.051017109
bc3,84.6,0,92.9,2,2,5,Drought,bc,1,0,2.900115575,0.725028894
bc3,19.4,0,22,2,1,1,Drought,bc,1,0,0.075405428,0.018851357
bc3,27.1,0,28.6,2,2,2,Drought,bc,1,0,0.17253381,0.043133452
bc3,26.5,0,29.1,2,1,2,Drought,bc,1,0,0.163225868,0.040806467
